,genre,file_path
0,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00027.wav
1,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00033.wav
2,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00032.wav
3,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00026.wav
4,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00030.wav
5,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00024.wav
6,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00018.wav
7,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00019.wav
8,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00025.wav
9,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00031.wav
10,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00009.wav
11,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00035.wav
12,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00021.wav
13,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00020.wav
14,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00034.wav
15,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00008.wav
16,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00022.wav
17,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00036.wav
18,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00037.wav
19,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00023.wav
20,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00044.wav
21,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00050.wav
22,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00078.wav
23,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00087.wav
24,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00093.wav
25,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00092.wav
26,pop,/Users/erwanrahis/Documents/Cours/MS/S1/Machine_Learning_Python/genres.nosync/pop/pop.00086.wav
