,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
rock.00000.wav,-15.769271,84.13611,-26.026077,16.931067000000002,3.4895372000000004,6.0889387,-2.456516,4.744527,4.2205153,5.8701367,-1.9204607,2.4135976,-7.507034299999999,-1.3457386,-7.6229377,4.064099,-5.5688705,0.9489559,-1.5130374,1.2323923,-7.155075,-1.15316,-4.304878,-0.54136187,-8.314571,-0.41840678,-5.392454,-3.4560997,-5.0592623,-2.1158695
rock.00001.wav,-12.58275,104.06834,-43.435284,27.292114,14.938996,5.026109,-2.7463384,9.649647,-6.3497900000000005,4.622772,-7.769444999999998,1.8559445,-4.2618575,-0.07027560000000001,-6.837174,0.87119216,-11.573487,-1.2007402,0.5251385999999999,0.07116856,-6.609603,-1.4800146,-9.162643,-1.012712,-1.8295857,0.39337486,-3.4685934,4.7445874,-1.2930157,-2.1764867000000003
rock.00015.wav,0.32242537,71.58617,-10.287409,27.968296,1.8565316000000005,9.805117999999998,-0.36791,9.035826,0.8986723,5.9254336,-7.073107,6.9112463,-6.1989555,2.80881,-2.157752,2.9800148,-3.4276133,2.1905413,-2.2266848,1.2871287,-8.432079,-1.6727061999999997,-6.994035,-1.0384631,-6.038372,-1.0322973,-5.297015,-0.105266705,-1.3624723,3.661717
rock.00029.wav,-42.43594,85.04954000000002,-7.3485070000000015,40.688892,-1.026871,18.962055,-3.5164206,5.877839,-4.9995556,4.2399783,-3.1850317,-0.5644312,-0.52751255,2.3479488,-0.35017037,-4.0739493,-3.8423922,-3.9204676,-5.795669599999999,-4.339123000000002,-2.7024453,-4.5033774000000015,-3.4815238,-4.372394,-2.4690635,0.68978834,-0.6191993,-1.9646469,-3.0867014,-5.979978
rock.00099.wav,-235.21909,123.95356,-22.53494,52.883865,-1.4294106000000002,24.646547,-7.0635295,14.888553,-12.744131,16.71365,-2.9561172000000004,10.045597,-15.032248,3.0954490000000003,-7.128013,1.803832,-7.0432086,0.040989082,-2.0086603,1.1672386,-5.113652,-1.9084737,-2.4305794,-5.828338,-12.529434,-9.130277,5.671344,3.6501446,3.1046762,-8.840449000000003
rock.00072.wav,-95.26046,112.43452,-2.106305,47.01985,-10.369627,29.788046,-15.10147,20.200779,-12.6613655,16.478254,-7.860322999999998,11.873314,-11.177505,8.889856,-4.920564700000001,0.91489494,-6.091696700000001,3.2020364,-8.104464,0.71814394,-4.025036,-3.5764172,-2.2547648,-0.86998093,-3.949419,-4.006681,-4.3741255,-4.544064,0.79571456,-0.5378969
rock.00066.wav,-245.31604,95.076065,-21.149603,45.662594,-3.5369977999999995,14.986101,-20.609653,19.526062,-21.668816,7.3304477,-9.24883,0.8257429000000001,-12.994994,0.04390349,-8.224929,1.0574169,-8.029124000000001,-0.40138218,-4.3447814000000005,-4.229596599999999,-6.1050385999999985,-5.550998,-7.7695117,-3.2523694,0.8363520000000001,-2.8355186000000003,-1.3927515,0.34657758,1.4697074,0.21484819
rock.00067.wav,-123.81537,94.71679,-9.576814,53.24045600000001,-13.742465,17.675601999999994,-19.202505,25.293308,-18.701405,15.351042,-12.506188,9.347412,-11.581768,0.6483585999999999,-6.996192,3.3610241000000003,-7.1336045,0.4955451,-8.748505999999999,-1.4931641000000002,-6.5551963,-3.9497972,-3.9215267,-3.079427,-2.0796225,-3.850891,-1.8555218,-2.3752656,-1.3536636999999998,-0.033039417
rock.00073.wav,-61.54878000000001,103.54347,-16.873785,49.30011,-14.786862,31.747293,-17.18914,24.655527,-14.465462,18.030733,-11.65373,11.50262,-9.797211,8.861748,-8.5773115,4.396693,-8.269533000000001,1.6219145,-7.00025,-0.8102615,-3.7516563,-1.0477284,-3.1537282,-1.4932061,-3.376885,0.04089753,-0.4674648,-2.75579,-1.253907,-1.2931191
rock.00098.wav,-224.91148,123.66058,-9.805507,56.58578000000001,10.4553585,20.590603,-10.253519,15.55731,-8.260457,12.789052,-9.00108,7.682899000000001,-10.080094,-0.25941718,-5.275941400000002,-2.8178086,-4.4191027,1.5631944,-5.0457125,-3.5837262,-2.7077394,-6.309139,-6.2648660000000005,-3.7356665,-1.8923758,-5.779677,-2.1008785,-2.3116807999999995,-2.3825245,-6.162015
