,0,1,2,3,4,5,6,7,8,9,10,11
pop.00027.wav,0.2999413,0.37927863,0.47008872,0.32530016,0.3424655,0.31411546,0.44249186,0.40110993,0.33972347,0.4203215,0.37319908,0.42260072
pop.00033.wav,0.544863,0.35105914,0.38802117,0.33780172,0.39133468,0.43044758,0.4482556,0.5321924,0.40425688,0.41889226,0.35386863,0.47620913
pop.00032.wav,0.44351044,0.4931546,0.37386516,0.47845644,0.47695643,0.34442553,0.38994923,0.40326706,0.4914007,0.38333586,0.39103788,0.45175257
pop.00026.wav,0.46356216,0.2874826,0.31622976,0.24565078,0.3230834,0.26678994,0.25018933,0.5416551,0.3911825,0.3470844,0.24411961,0.34169486
pop.00030.wav,0.4008506,0.53380567,0.29127902,0.37241048,0.26023823,0.3724325,0.25674263,0.2896702,0.4682621,0.32157847,0.44119605,0.28340492
pop.00024.wav,0.3585583,0.44672844,0.34904525,0.39483252,0.46253705,0.37374726,0.43985286,0.42216823,0.51268685,0.44022113,0.33439228,0.39752522
pop.00018.wav,0.47448584,0.38604322,0.36766383,0.48596504,0.3927328,0.36724877,0.30668142,0.42924216,0.5330889,0.38079286,0.4172171,0.37862238
pop.00019.wav,0.486689,0.3866689,0.49557468,0.49842593,0.31754217,0.28532174,0.29709697,0.4748384,0.2969417,0.2457788,0.367242,0.36553034
pop.00025.wav,0.33458892,0.3202943,0.43655175,0.31967667,0.3421621,0.25372344,0.33644697,0.44729102,0.30037752,0.3151525,0.26941025,0.28799
pop.00031.wav,0.412662,0.53731203,0.3010908,0.37952065,0.26975253,0.38026473,0.26475394,0.30304936,0.4736501,0.3320253,0.44533932,0.29355174
pop.00009.wav,0.41148388,0.54107124,0.41269976,0.4375928,0.4245665,0.37706584,0.5237076,0.4096348,0.4324658,0.4672272,0.5128887,0.5047066
pop.00035.wav,0.3549436,0.43464977,0.34125587,0.47298092,0.37528378,0.29642338,0.41549322,0.38466144,0.53136915,0.35491142,0.4876117,0.4940818
pop.00021.wav,0.65461826,0.45111296,0.52289104,0.5715686,0.4940715,0.4735468,0.42245674,0.54852694,0.49430385,0.44187385,0.48047215,0.50004315
pop.00020.wav,0.5206411,0.33481157,0.42306927,0.46047652,0.34662658,0.3948589,0.37709808,0.50438744,0.41440558,0.37548974,0.4151739,0.38254946
pop.00034.wav,0.35769263,0.26533374,0.34854284,0.3037659,0.29871815,0.4752691,0.2993969,0.31543308,0.26666492,0.39693344,0.4741346,0.28901547
pop.00008.wav,0.3685957,0.38449615,0.41143784,0.6039427,0.4560968,0.40122166,0.33857045,0.3426661,0.5286519,0.37170073,0.33814648,0.30007374
pop.00022.wav,0.54417497,0.42029893,0.4239669,0.3995754,0.30087423,0.31289077,0.36331266,0.44591776,0.34251353,0.3252771,0.36305514,0.40067783
pop.00036.wav,0.41773537,0.35848472,0.44900042,0.40840128,0.47640476,0.40262055,0.35666615,0.4173465,0.35899454,0.38367105,0.3103735,0.3943434
