,0,1,2,3,4,5,6,7,8,9,10,11
pop.00027.wav,0.22869302,0.2663167,0.33183166,0.24801476,0.320276,0.24787423,0.31786138,0.3137673,0.24888647,0.29865614,0.27469838,0.33241725
pop.00033.wav,0.32773933,0.24914141,0.31129742,0.25666222,0.2761984,0.32597673,0.27230376,0.3111999,0.24813206,0.2947137,0.25163782,0.2771877
pop.00032.wav,0.2882922,0.32272506,0.24563971,0.30110535,0.30610418,0.25104824,0.3181056,0.27432555,0.32560667,0.2872197,0.28622913,0.313924
pop.00026.wav,0.3451281,0.22932181,0.29629788,0.227295,0.2974042,0.26150054,0.22208747,0.367017,0.28475904,0.33302337,0.24025716,0.30215266
pop.00030.wav,0.2950274,0.346941,0.21354102,0.32469732,0.20705359,0.31223688,0.21345958,0.22550777,0.32418457,0.23326682,0.35623312,0.21632715
pop.00024.wav,0.277494,0.32857895,0.2859596,0.29556397,0.3299171,0.29439023,0.34312585,0.30083513,0.32972926,0.3305076,0.26214492,0.30055922
pop.00018.wav,0.3159395,0.28147742,0.2662652,0.32044426,0.27702123,0.29800904,0.23938651,0.28094527,0.3328801,0.25719908,0.3159634,0.25604713
pop.00019.wav,0.35797423,0.2662021,0.30066863,0.3086816,0.24870025,0.2633646,0.23311232,0.32731926,0.24673355,0.23030993,0.3150196,0.26985398
pop.00025.wav,0.33485267,0.27323836,0.36187592,0.26607552,0.3394845,0.24131826,0.329846,0.3448856,0.2470813,0.30777472,0.25162387,0.28115335
pop.00031.wav,0.2962724,0.34704632,0.2188969,0.3252645,0.20927224,0.31300625,0.2160752,0.23037337,0.32389933,0.23775011,0.35454062,0.22038564
pop.00009.wav,0.24549304,0.31256977,0.24460611,0.26695293,0.28361568,0.22065431,0.30877143,0.24738592,0.27664173,0.28715008,0.27822062,0.3026221
pop.00035.wav,0.24418083,0.3280548,0.22820956,0.31151807,0.28879195,0.21590562,0.30108312,0.24876665,0.342488,0.23730977,0.30099487,0.3124501
pop.00021.wav,0.28573045,0.21010844,0.28031915,0.28580567,0.26278242,0.2813243,0.2376773,0.28129724,0.29067716,0.24519424,0.26199475,0.23546232
pop.00020.wav,0.32898524,0.21881285,0.28247008,0.31175035,0.24507904,0.3101177,0.26766032,0.31671098,0.28078848,0.24943314,0.28285936,0.24562417
pop.00034.wav,0.32402053,0.22952263,0.3211677,0.2758162,0.2572656,0.3556291,0.24009596,0.31232104,0.22832343,0.30997908,0.34397614,0.23462054
pop.00008.wav,0.27699804,0.2869275,0.2636433,0.3329374,0.2645975,0.30131948,0.28594813,0.26714772,0.33944124,0.23625968,0.26412633,0.23582383
pop.00022.wav,0.3563875,0.30255988,0.29638314,0.30654636,0.24769737,0.28350654,0.27781993,0.32761472,0.27304366,0.25218382,0.27433303,0.2790981
pop.00036.wav,0.32650304,0.27096185,0.32704568,0.28000954,0.33564472,0.31217095,0.2733216,0.3284235,0.2656537,0.30231553,0.22818018,0.28127778
pop.00037.wav,0.32625186,0.3042968,0.30513197,0.29998925,0.24951598,0.27029434,0.2681006,0.31158805,0.28039423,0.2849846,0.25609207,0.27706835
pop.00023.wav,0.3297682,0.2740012,0.3190798,0.31341708,0.35754973,0.3304689,0.28725567,0.33649033,0.27190423,0.29166526,0.25305295,0.27556172
pop.00044.wav,0.33863232,0.30698118,0.31421062,0.32705018,0.27693322,0.2624781,0.28066757,0.3163237,0.28654975,0.26297733,0.28472024,0.29968882
pop.00050.wav,0.29359016,0.3267622,0.31214276,0.2649234,0.3258229,0.2815153,0.3045602,0.25413376,0.27461255,0.33329257,0.28846326,0.32062572
pop.00078.wav,0.25738505,0.31027412,0.29078162,0.31528476,0.25624615,0.24626611,0.28170663,0.262916,0.32822534,0.29380792,0.28886902,0.29812765
pop.00087.wav,0.2537322,0.2530785,0.35567448,0.2618413,0.31250224,0.23230653,0.24905878,0.36039656,0.24212413,0.3062682,0.24452737,0.25964707
pop.00093.wav,0.33442494,0.25127527,0.30923596,0.30381387,0.24987236,0.335284,0.23956032,0.30982116,0.27137116,0.23790815,0.2855352,0.26777893
pop.00092.wav,0.2859141,0.25528276,0.26228058,0.253557,0.27825177,0.29853588,0.28438774,0.31571618,0.31050283,0.28717867,0.28090358,0.2859085
pop.00086.wav,0.18812989,0.24294247,0.2847674,0.20126791,0.32268143,0.20314653,0.31424516,0.3289708,0.21481927,0.33303353,0.22037624,0.26948833
